2013-04-19: Total users: 5774, Non-zero FROM: 520, Geocoded(active): 392(224), Cities(active): 116(86)
2013-04-20: Total users: 5777, Non-zero FROM: 520, Geocoded(active): 392(224), Cities(active): 116(86)
2013-04-21: Total users: 5780, Non-zero FROM: 520, Geocoded(active): 392(224), Cities(active): 116(86)
2013-04-22: Total users: 5782, Non-zero FROM: 520, Geocoded(active): 392(224), Cities(active): 116(86)
2013-04-23: Total users: 5786, Non-zero FROM: 520, Geocoded(active): 392(224), Cities(active): 116(86)
2013-04-24: Total users: 5792, Non-zero FROM: 521, Geocoded(active): 393(225), Cities(active): 116(86)
2013-04-25: Total users: 5796, Non-zero FROM: 521, Geocoded(active): 393(225), Cities(active): 116(86)
2013-04-26: Total users: 5806, Non-zero FROM: 522, Geocoded(active): 393(225), Cities(active): 116(86)
2013-04-27: Total users: 5811, Non-zero FROM: 522, Geocoded(active): 393(225), Cities(active): 117(87)
2013-04-28: Total users: 5814, Non-zero FROM: 522, Geocoded(active): 393(225), Cities(active): 117(87)
2013-04-29: Total users: 5815, Non-zero FROM: 522, Geocoded(active): 393(225), Cities(active): 117(87)
2013-04-30: Total users: 5820, Non-zero FROM: 522, Geocoded(active): 393(225), Cities(active): 117(87)
2013-05-01: Total users: 5824, Non-zero FROM: 523, Geocoded(active): 394(226), Cities(active): 117(87)
2013-05-02: Total users: 5827, Non-zero FROM: 523, Geocoded(active): 394(226), Cities(active): 117(87)
2013-05-03: Total users: 5830, Non-zero FROM: 523, Geocoded(active): 394(226), Cities(active): 117(87)
2013-05-04: Total users: 5832, Non-zero FROM: 524, Geocoded(active): 395(226), Cities(active): 117(87)
2013-05-05: Total users: 5835, Non-zero FROM: 524, Geocoded(active): 395(226), Cities(active): 117(87)
2013-05-06: Total users: 5839, Non-zero FROM: 524, Geocoded(active): 395(226), Cities(active): 117(87)
2013-05-07: Total users: 5843, Non-zero FROM: 525, Geocoded(active): 395(226), Cities(active): 117(87)
2013-05-08: Total users: 5847, Non-zero FROM: 526, Geocoded(active): 396(227), Cities(active): 117(87)
2013-05-09: Total users: 5848, Non-zero FROM: 528, Geocoded(active): 398(229), Cities(active): 117(87)
2013-05-10: Total users: 5853, Non-zero FROM: 528, Geocoded(active): 398(229), Cities(active): 117(87)
2013-05-11: Total users: 5858, Non-zero FROM: 528, Geocoded(active): 398(229), Cities(active): 117(87)
2013-05-12: Total users: 5863, Non-zero FROM: 528, Geocoded(active): 398(229), Cities(active): 117(87)
2013-05-13: Total users: 5865, Non-zero FROM: 528, Geocoded(active): 398(228), Cities(active): 117(87)
2013-05-14: Total users: 5871, Non-zero FROM: 528, Geocoded(active): 398(228), Cities(active): 117(87)
2013-05-15: Total users: 5875, Non-zero FROM: 528, Geocoded(active): 398(228), Cities(active): 117(87)
2013-05-16: Total users: 5878, Non-zero FROM: 528, Geocoded(active): 398(228), Cities(active): 117(87)
2013-05-17: Total users: 5883, Non-zero FROM: 528, Geocoded(active): 398(228), Cities(active): 117(87)
2013-05-18: Total users: 5888, Non-zero FROM: 529, Geocoded(active): 398(227), Cities(active): 117(87)
2013-05-19: Total users: 5888, Non-zero FROM: 529, Geocoded(active): 398(227), Cities(active): 117(87)
2013-05-20: Total users: 5889, Non-zero FROM: 529, Geocoded(active): 398(227), Cities(active): 117(87)
2013-05-21: Total users: 5892, Non-zero FROM: 530, Geocoded(active): 398(227), Cities(active): 117(87)
2013-05-22: Total users: 5898, Non-zero FROM: 533, Geocoded(active): 401(230), Cities(active): 117(87)
2013-05-23: Total users: 5902, Non-zero FROM: 533, Geocoded(active): 401(230), Cities(active): 117(87)
2013-05-24: Total users: 5909, Non-zero FROM: 535, Geocoded(active): 402(231), Cities(active): 117(87)
2013-05-25: Total users: 5913, Non-zero FROM: 535, Geocoded(active): 402(231), Cities(active): 117(87)
2013-05-26: Total users: 5913, Non-zero FROM: 535, Geocoded(active): 402(231), Cities(active): 117(87)
2013-05-27: Total users: 5913, Non-zero FROM: 535, Geocoded(active): 402(230), Cities(active): 117(86)
2013-05-28: Total users: 5921, Non-zero FROM: 535, Geocoded(active): 402(230), Cities(active): 117(86)
2013-05-29: Total users: 5929, Non-zero FROM: 536, Geocoded(active): 402(230), Cities(active): 117(86)
2013-05-30: Total users: 5936, Non-zero FROM: 536, Geocoded(active): 402(230), Cities(active): 117(86)
2013-05-31: Total users: 5940, Non-zero FROM: 537, Geocoded(active): 403(231), Cities(active): 117(86)
2013-06-01: Total users: 5949, Non-zero FROM: 537, Geocoded(active): 403(231), Cities(active): 117(86)
2013-06-02: Total users: 5952, Non-zero FROM: 537, Geocoded(active): 403(230), Cities(active): 117(86)
2013-06-03: Total users: 5956, Non-zero FROM: 537, Geocoded(active): 403(230), Cities(active): 117(86)
2013-06-04: Total users: 5962, Non-zero FROM: 538, Geocoded(active): 403(230), Cities(active): 117(86)
2013-06-05: Total users: 5970, Non-zero FROM: 538, Geocoded(active): 403(230), Cities(active): 117(86)
2013-06-06: Total users: 5976, Non-zero FROM: 538, Geocoded(active): 403(231), Cities(active): 117(86)
2013-06-07: Total users: 5983, Non-zero FROM: 539, Geocoded(active): 403(230), Cities(active): 117(86)
2013-06-08: Total users: 5990, Non-zero FROM: 541, Geocoded(active): 405(232), Cities(active): 118(87)
2013-06-09: Total users: 5994, Non-zero FROM: 541, Geocoded(active): 405(232), Cities(active): 118(87)
2013-06-10: Total users: 5997, Non-zero FROM: 541, Geocoded(active): 405(231), Cities(active): 118(87)
2013-06-11: Total users: 6000, Non-zero FROM: 541, Geocoded(active): 405(231), Cities(active): 118(87)
2013-06-12: Total users: 6003, Non-zero FROM: 542, Geocoded(active): 406(232), Cities(active): 118(87)
2013-06-13: Total users: 6009, Non-zero FROM: 542, Geocoded(active): 406(232), Cities(active): 118(87)
2013-06-14: Total users: 6014, Non-zero FROM: 543, Geocoded(active): 407(232), Cities(active): 118(87)
